Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (development),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
PREP - Emergency Pest Response & Treatment Planning,GMLT-3,10123,Epic,In Progress,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Highest,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,17/Jul/25 12:58 AM,21/Jul/25 10:13 AM,,26/Jul/25 12:00 AM,0,,,"For families dealing with immediate bed bug and roach infestations who need to take action while exploring treatment options, the Treatment Planning & Immediate Response epic is a dual-track emergency response system that provides immediate containment and strategic decision-making framework. Unlike waiting for professional treatment or diving into expensive solutions without planning, our approach combines immediate DIY intervention with comprehensive professional evaluation, ensuring progress starts immediately while maintaining all treatment options and budget flexibility.

*Business Outcome:*

Establishes immediate pest containment within 48 hours while creating informed decision framework for optimal long-term treatment approach, preventing infestation spread and family displacement.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-30,GMLT-31,GMLT-41,GMLT-42,GMLT-43,GMLT-47,GMLT-48,GMLT-54,GMLT-55,GMLT-60,GMLT-69,,,,,0|i0006f:,12/Jul/25 12:00 AM,,,,{},,,,,,,,In Progress,17/Jul/25 12:58 AM
MSTR - Master Bedroom Pest Elimination & Organization,GMLT-4,10124,Epic,In Progress,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,17/Jul/25 4:29 PM,17/Jul/25 4:29 PM,,15/Aug/25 12:00 AM,0,,,"For families whose master bedroom has become compromised by bed bugs and clutter who need their primary sleeping space restored to safety and functionality, the Master Bedroom Elimination & Organization epic is a systematic room recovery process that combines aggressive pest treatment with sustainable organization systems. Unlike room-by-room random cleaning or simple pesticide application, our solution provides coordinated decluttering, deep cleaning, and targeted treatment protocols that eliminate pests while establishing maintainable organization systems.

*Business Outcome:*

Restores master bedroom to pest-free, organized state within 2-4 weeks, ensuring primary sleeping area safety and establishing organizational template for remaining rooms.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,16/Jul/25 12:00 AM,,,,{},,,,,,,,In Progress,17/Jul/25 4:29 PM
KITCH - Kitchen Pest Elimination & Deep Organization,GMLT-5,10125,Epic,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,21/Jul/25 10:13 AM,,,15/Aug/25 12:00 AM,0,,,"For families whose kitchen has become a roach breeding ground and clutter zone who need their food preparation area safe and functional, the Kitchen Deep Clean & Pest Control epic is a comprehensive sanitization and organization system that eliminates pest harborage while creating efficient food storage and preparation spaces. Unlike surface cleaning or basic pest baiting, our solution provides complete cabinet cleanout, professional-grade pest elimination, and sustainable organization systems that prevent re-infestation.

*Business Outcome:*

Transforms kitchen into pest-free, efficiently organized food preparation space within 2-3 weeks, establishing ongoing pest prevention systems and family-friendly organization.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,23/Jul/25 12:00 AM,,,,{},,,,,,,,To Do,12/Jul/25 1:54 PM
KIDS - Children's Bedroom Safety & Organization,GMLT-6,10126,Epic,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,12/Jul/25 6:20 PM,,,19/Aug/25 12:00 AM,0,,,"For families whose children's bedrooms are compromised by bed bugs and overwhelming clutter who need safe sleeping spaces for their kids, the Children's Rooms Treatment & Organization epic is a child-focused safety restoration system that eliminates pests while creating age-appropriate organization systems. Unlike adult-focused cleaning approaches or temporary solutions, our solution provides child-safe pest elimination, developmentally appropriate storage systems, and family engagement strategies that teach children organizational skills.

*Business Outcome:*

Delivers pest-free, organized bedrooms for all children within 3-4 weeks, establishing safe sleeping environments and teaching sustainable organization habits to young family members.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,GMLT-51,GMLT-53,,,,,,,,,,,,,,0|i00073:,23/Jul/25 12:00 AM,,,,{},,,,,,,,To Do,12/Jul/25 1:54 PM
LIVING - Common Area Pest Control & Family Organization,GMLT-7,10127,Epic,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,12/Jul/25 6:22 PM,,,14/Aug/25 12:00 AM,0,,,"For families whose living and dining areas have become pest-infested spaces that no longer support comfortable family time who need functional common areas restored, the Living Areas Treatment & Organization epic is a family-centered space recovery system that eliminates pests while creating organized, comfortable gathering spaces. Unlike focusing only on bedrooms or treating symptoms, our solution addresses pest harborage in furniture and play areas while establishing family-friendly organization systems that support daily life.

*Business Outcome:*

Reclaims living and dining areas as pest-free, organized family spaces within 2-3 weeks, supporting normal family activities and social functioning.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,01/Aug/25 12:00 AM,,,,{},,,,,,,,To Do,12/Jul/25 1:54 PM
BATH - Bathroom Restoration & Maintenance Systems,GMLT-8,10128,Epic,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,12/Jul/25 6:23 PM,,,21/Aug/25 12:00 AM,0,,,"For families whose bathrooms need deep cleaning and repairs to support the overall home recovery who need functional, hygienic bathroom spaces, the Bathroom Repairs & Deep Clean epic is a comprehensive restoration system that addresses maintenance issues while establishing cleaning routines. Unlike basic cleaning or ignoring maintenance needs, our solution provides systematic repairs, deep sanitization, and sustainable maintenance systems that support overall home health.

*Business Outcome:*

Delivers fully functional, clean bathrooms within 2 weeks while establishing maintenance routines that support long-term home cleanliness and family health.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,01/Aug/25 12:00 AM,,,,{},,,,,,,,To Do,12/Jul/25 1:54 PM
MAINT - Sustainable Home Management Systems,GMLT-9,10129,Epic,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 1:54 PM,12/Jul/25 6:23 PM,12/Jul/25 9:41 PM,,23/Aug/25 12:00 AM,0,,,"For families who have eliminated immediate pest problems but need systems to maintain their progress who want to prevent future infestations and chaos, the Maintenance Systems & Sustainability epic is a family behavior and routine management system that ensures long-term success. Unlike one-time cleaning efforts or hoping problems won't return, our solution provides daily routines, weekly maintenance schedules, and family engagement systems that sustain the transformation permanently.

*Business Outcome:*

Establishes sustainable family routines and maintenance systems within 2-3 weeks that prevent pest re-infestation and maintain organization with minimal ongoing effort, ensuring permanent lifestyle transformation.",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,08/Aug/25 12:00 AM,,,,{},,,,,,,,To Do,12/Jul/25 1:54 PM
[PREP] Professional Treatment Quote Research,GMLT-10,10131,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,21/Jul/25 10:12 AM,21/Jul/25 10:10 AM,21/Jul/25 10:12 AM,,0,,,"As a family dealing with bed bug infestation
I want to obtain multiple professional heat treatment quotes
So that I can make an informed decision about treatment options and budget for professional services.

**Acceptance Criteria:**
1. Contact minimum 3 licensed pest control companies
2. Obtain written quotes including cost breakdown and timeline
3. Verify company licensing and insurance status
4. Request references from recent bed bug treatments
5. Document treatment guarantees and follow-up policies
6. Compare heat treatment vs chemical treatment options
7. Schedule on-site inspections if required
8. Record quote validity periods and booking requirements",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,21/Jul/25 10:12 AM;f54dbf9c-27fe-4725-a49a-fa7c94fb396c;BED BUG HEAT Treatment Disclaimer_Fire Sprinkler_2023.pdf;https://hdsolutions360.atlassian.net/rest/api/3/attachment/content/10000,,0|i0007z:,,,,,{},"16/Jul/25 9:22 PM;5ee5149e4833d00aae4fecc1;Average cost and factors affecting price

* *Overall cost:* Bed bug heat treatments in Los Angeles typically range from $1 to $3 per square foot, or $2,500 to $7,500 for an entire home.
*
* *Size of the infested area:* The primary factor determining cost is the size of the area requiring treatment. Larger homes or infestations spread across multiple rooms will naturally cost more.
* *Severity of the infestation:* Heavy infestations will require more intensive treatment and may increase the overall cost.
* *Clutter:* A cluttered space makes it harder for heat to circulate effectively and may require additional time and effort from the technicians, impacting the price.
* *Add-on services:* Some companies offer additional services like mattress encasements or follow-up chemical treatments, which will add to the total cost.
* *Company choice:* Prices may vary between different pest control companies. 

Cost comparison with other treatments

* *Heat treatment vs. Chemical:* Heat treatment is generally more expensive upfront than chemical treatments, but can often be done in a single day and is highly effective at eliminating all life stages, including eggs. Chemical treatments may be less expensive per visit, but often require multiple applications and may not kill eggs, increasing the risk of re-infestation.
* *Heat treatment vs. Steam:* Heat treatment treats the entire area and uses residual heat, while steam treatment targets specific areas and penetrates deep into fabrics but may require multiple treatments. 

Choice: Heat Treatment, total elimination","17/Jul/25 12:00 AM;5ee5149e4833d00aae4fecc1;* Contact Heat Pest Services - [https://heatpest.com/home/locations/california/|https://heatpest.com/home/locations/california/|smart-link]
* Contact HeatRx Los Angeles - (213) 772-4279 or [https://heatrx.com/locations/los-angeles/|https://heatrx.com/locations/los-angeles/|smart-link]
* Contact Pest Innovations - (855) 414-7378 or [https://www.pestinnovations.com|https://www.pestinnovations.com|smart-link]
* Contact Stanley - (323) 937-3819

Request quotes for 1,028 sq ft home with 3 bedrooms + living room in 90003
Obtain pricing, scheduling availability, and payment plan options from each company
Document responses and compare quotes within 1 week of initial contact
Schedule follow-up calls if needed to clarify quotes or negotiate pricing","19/Jul/25 12:23 AM;5ee5149e4833d00aae4fecc1;HeatRx, no call back

Pest Innovations: George phone quote: $1500

Booked Stay: $525-$585 (Aug 1 - 3)","21/Jul/25 10:12 AM;5ee5149e4833d00aae4fecc1;Quote Locked: Pest Innovations - $1500 - Friday, Aug 1.

[^BED BUG HEAT Treatment Disclaimer_Fire Sprinkler_2023.pdf] ",10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,21/Jul/25 10:12 AM
[PREP] Treatment Financing Research,GMLT-11,10132,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:02 AM,17/Jul/25 12:02 AM,17/Jul/25 12:02 AM,,0,,,"As a budget-conscious family
I want to explore financing options for professional pest treatment
So that I can afford effective treatment without depleting emergency savings.

**Acceptance Criteria:**
1. Research CareCredit eligibility and terms
2. Investigate personal loan options and rates
3. Check homeowner's/renter's insurance coverage for pest damage
4. Review pest control company payment plan options
5. Calculate monthly payment scenarios for different loan terms
6. Compare total cost of financing vs DIY approach over 6 months
7. Document approval requirements and application timelines
8. Establish maximum monthly payment budget",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0009y:i,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:02 AM
[PREP] Emergency Bed Bug Supply Purchase,GMLT-12,10133,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:02 AM,16/Jul/25 11:27 PM,17/Jul/25 12:02 AM,,0,,,"As a family with active bed bug infestation
I want to purchase immediate treatment supplies
So that I can begin containment while evaluating long-term treatment options.

**Acceptance Criteria:**
1. Purchase mattress and box spring encasements for all beds
2. Buy residual bed bug spray (Ortho Home Defense or CimeXa)
3. Obtain bed bug interceptor traps for all bed legs
4. Purchase food-grade diatomaceous earth
5. Buy caulk and caulk gun for crack sealing
6. Obtain disposable vacuum bags and protective equipment
7. Purchase inspection flashlight
8. Verify all products are bed bug specific and EPA approved",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:02 AM
